Type,Model,Parameters,Accuracy,Precision,Fit Time,Predict Time
doc type,LinearSVC,"{'model__C': 0.01, 'model__max_iter': 2000, 'model__loss': 'hinge'}",0.6262840648611937,0.5056785541814901,2.300571918487549,0.004000425338745117
doc type,LinearSVC,"{'model__C': 0.01, 'model__max_iter': 2000, 'model__loss': 'squared_hinge'}",0.6377451396553188,0.4710811994796469,1.8237147331237793,0.0029997825622558594
doc type,LinearSVC,"{'model__C': 0.1, 'model__max_iter': 500, 'model__loss': 'hinge'}",0.6639782664063163,0.5534594815975411,4.262499570846558,0.00599980354309082
doc type,LinearSVC,"{'model__C': 0.1, 'model__max_iter': 500, 'model__loss': 'squared_hinge'}",0.6842686136344341,0.5893773993686018,1.8765652179718018,0.0052378177642822266
doc type,LinearSVC,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__loss': 'hinge'}",0.6639782664063163,0.5534084476846883,6.162465572357178,0.0039708614349365234
doc type,LinearSVC,"{'model__C': 0.1, 'model__max_iter': 1000, 'model__loss': 'squared_hinge'}",0.6842686136344341,0.5893773993686018,1.754713535308838,0.002994060516357422
doc type,LinearSVC,"{'model__C': 0.1, 'model__max_iter': 2000, 'model__loss': 'hinge'}",0.6639782664063163,0.5534966242536871,5.269095420837402,0.004389524459838867
doc type,LinearSVC,"{'model__C': 0.1, 'model__max_iter': 2000, 'model__loss': 'squared_hinge'}",0.6842686136344341,0.5893773993686018,1.377359390258789,0.003999948501586914
doc type,LinearSVC,"{'model__C': 1.0, 'model__max_iter': 500, 'model__loss': 'hinge'}",0.6894473215043722,0.5508329687072362,4.803213119506836,0.004001140594482422
doc type,LinearSVC,"{'model__C': 1.0, 'model__max_iter': 500, 'model__loss': 'squared_hinge'}",0.6704304270311572,0.5209153441454878,2.915510654449463,0.00400090217590332
doc type,LinearSVC,"{'model__C': 1.0, 'model__max_iter': 1000, 'model__loss': 'hinge'}",0.6893624246540453,0.5489089658793884,7.5683534145355225,0.003999233245849609
doc type,LinearSVC,"{'model__C': 1.0, 'model__max_iter': 1000, 'model__loss': 'squared_hinge'}",0.6704304270311572,0.5209153441454878,3.060504913330078,0.004997968673706055
doc type,LinearSVC,"{'model__C': 1.0, 'model__max_iter': 2000, 'model__loss': 'hinge'}",0.6893624246540453,0.5489089658793884,12.100409030914307,0.0030045509338378906
doc type,LinearSVC,"{'model__C': 1.0, 'model__max_iter': 2000, 'model__loss': 'squared_hinge'}",0.6704304270311572,0.5209153441454878,2.8971920013427734,0.003999471664428711
doc type,LinearSVC,"{'model__C': 10.0, 'model__max_iter': 500, 'model__loss': 'hinge'}",0.6424144664232957,0.4631933357985121,8.66036319732666,0.0030019283294677734
doc type,LinearSVC,"{'model__C': 10.0, 'model__max_iter': 500, 'model__loss': 'squared_hinge'}",0.6136344341624925,0.4394518517520502,14.505657196044922,0.0039997100830078125
doc type,LinearSVC,"{'model__C': 10.0, 'model__max_iter': 1000, 'model__loss': 'hinge'}",0.6420748790219882,0.46139853048725904,13.361611366271973,0.0029993057250976562
doc type,LinearSVC,"{'model__C': 10.0, 'model__max_iter': 1000, 'model__loss': 'squared_hinge'}",0.6136344341624925,0.4394518517520502,12.666769027709961,0.003999948501586914
doc type,LinearSVC,"{'model__C': 10.0, 'model__max_iter': 2000, 'model__loss': 'hinge'}",0.6420748790219882,0.4616808286050802,20.156473636627197,0.0039670467376708984
doc type,LinearSVC,"{'model__C': 10.0, 'model__max_iter': 2000, 'model__loss': 'squared_hinge'}",0.6136344341624925,0.4394518517520502,12.860126495361328,0.002999544143676758
doc type,LinearSVC,"{'model__C': 100.0, 'model__max_iter': 500, 'model__loss': 'hinge'}",0.5640546735716105,0.3642183555007776,15.24339485168457,0.0029993057250976562
doc type,LinearSVC,"{'model__C': 100.0, 'model__max_iter': 500, 'model__loss': 'squared_hinge'}",0.5509805586212752,0.34917885463784926,19.05321478843689,0.0039997100830078125
doc type,LinearSVC,"{'model__C': 100.0, 'model__max_iter': 1000, 'model__loss': 'hinge'}",0.5666864759317429,0.36143479784686733,20.713346242904663,0.003998994827270508
doc type,LinearSVC,"{'model__C': 100.0, 'model__max_iter': 1000, 'model__loss': 'squared_hinge'}",0.5436794294931658,0.3477583479115026,28.93444800376892,0.003965854644775391
doc type,LinearSVC,"{'model__C': 100.0, 'model__max_iter': 2000, 'model__loss': 'hinge'}",0.5648187452245522,0.3621065311054743,30.321086645126343,0.004006147384643555
doc type,LinearSVC,"{'model__C': 100.0, 'model__max_iter': 2000, 'model__loss': 'squared_hinge'}",0.5458018507513371,0.3501176589892613,46.05757737159729,0.003998756408691406
doc type,LinearSVC,"{'model__C': 1000.0, 'model__max_iter': 500, 'model__loss': 'hinge'}",0.5197385177009933,0.31937409182805715,23.78055500984192,0.004044771194458008
doc type,LinearSVC,"{'model__C': 1000.0, 'model__max_iter': 500, 'model__loss': 'squared_hinge'}",0.4706681382120723,0.3061053552888451,23.017415523529053,0.003998994827270508
doc type,LinearSVC,"{'model__C': 1000.0, 'model__max_iter': 1000, 'model__loss': 'hinge'}",0.49027931063757535,0.2886844366337465,35.276707887649536,0.003000020980834961
doc type,LinearSVC,"{'model__C': 1000.0, 'model__max_iter': 1000, 'model__loss': 'squared_hinge'}",0.49749554291535786,0.29647413240966325,36.49064493179321,0.003997802734375
